id,product_id,product_name,review_title,review_text,rating,review_date,source,sentiment,themes,scraped_at
20,product_b,Master Buds Max,Build is premium,"Metal charging case, ceramic earbuds, excellent build quality overall. Feels premium in every way. Built to last.",5.0,2025-01-12,amazon,,,2026-03-06T10:28:58.912374+00:00
21,product_b,Master Buds Max,App needs major work,The app is buggy and lacks basic features. Can't even save custom EQ presets. App experience is the weakest link.,2.0,2025-01-18,amazon,,,2026-03-06T10:28:58.913246+00:00
22,product_b,Master Buds Max,Good value flagship,"For the price, you get flagship-level ANC, great battery, and premium build. Sound could be better but overall amazing price to value ratio.",4.0,2025-01-22,amazon,,,2026-03-06T10:28:58.914011+00:00
23,product_b,Master Buds Max,Arrived damaged,Box was crushed and one earbud had a scratch. Delivery and packaging needs improvement. Returned for replacement.,1.0,2025-01-28,flipkart,,,2026-03-06T10:28:58.914725+00:00
24,product_b,Master Buds Max,Support was helpful,Had an issue with pairing. Customer support responded within 24 hours and guided me through the fix. Great support experience.,4.0,2025-02-02,amazon,,,2026-03-06T10:28:58.915448+00:00
25,product_b,Master Buds Max,ANC is mind-blowing,Sitting in a noisy cafe right now and I can't hear a thing. The ANC on the Max is genuinely the best I've tested. Worth every penny.,5.0,2025-02-08,amazon,,,2026-03-06T10:28:58.919110+00:00
26,product_b,Master Buds Max,Uncomfortable after an hour,"The nozzle is too wide for my ear canals. After an hour, my ears start hurting. Comfort and fit is subjective but didn't work for me.",2.0,2025-02-12,flipkart,,,2026-03-06T10:28:58.920131+00:00
27,product_b,Master Buds Max,Battery champion,"I'm getting over 11 hours of battery with ANC turned off. Even with ANC on, solid 9 hours. Battery life is a major strong point.",5.0,2025-02-18,amazon,,,2026-03-06T10:28:58.920843+00:00
28,product_b,Master Buds Max,Sound improved with EQ,"Out of the box the sound was disappointing, but after tweaking the EQ in the app, it sounds much better. Bass boost makes a big difference.",4.0,2025-02-22,amazon,,,2026-03-06T10:28:58.921593+00:00
29,product_b,Master Buds Max,Expensive but worth it,"Yes it's pricey, but the combination of ANC, battery, and build quality justifies it. You get what you pay for.",4.0,2025-02-28,amazon,,,2026-03-06T10:28:58.922259+00:00
30,product_b,Master Buds Max,Case lid feels loose,The charging case lid has some wobble to it. Doesn't feel as solid as the earbuds themselves. Minor build quality nitpick.,3.0,2025-03-02,flipkart,,,2026-03-06T10:28:58.923485+00:00
